Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%RH),Rainfall (mm),Barometric Pressure (hPa),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Visibility-reducing particles (Mm^-1)
08/01/2010,03:00,180,0.4,43.1,0.3,22.4,81.5,0.0,1008,0.000,0.000,0.000,0.000,16.0,3.9,8
08/01/2010,04:00,146,0.5,28.0,0.3,23.2,79.1,0.0,1008,0.000,0.000,0.000,0.000,,,8
08/01/2010,05:00,143,0.7,33.5,0.4,23.6,79.3,0.0,1008,0.000,0.001,0.001,0.000,,,9
08/01/2010,06:00,142,0.8,35.9,0.6,23.3,82.0,0.0,1009,0.000,0.003,0.003,0.000,9.6,-4.4,9
08/01/2010,07:00,143,1.0,33.5,0.6,24.4,77.0,0.0,1009,0.003,0.010,0.012,0.004,17.0,1.6,10
08/01/2010,08:00,130,1.3,26.3,0.7,25.2,74.7,0.0,1010,0.010,0.016,0.026,0.010,,,10
08/01/2010,09:00,125,1.6,25.5,0.8,26.0,71.6,0.0,1010,0.021,0.020,0.041,0.017,,,9
08/01/2010,10:00,117,2.5,16.5,1.0,25.0,77.1,0.3,1010,0.010,0.011,0.021,0.010,18.4,6.4,7
08/01/2010,11:00,148,1.1,33.3,0.8,23.2,84.1,1.8,1010,0.000,0.002,0.002,0.001,12.1,4.4,6
08/01/2010,12:00,126,2.0,26.5,1.2,23.3,84.6,0.5,1010,0.002,0.006,0.008,0.001,10.1,1.8,7
08/01/2010,13:00,148,0.8,41.8,0.6,23.2,85.8,0.4,1009,0.010,0.016,0.026,0.004,6.4,-0.7,7
08/01/2010,14:00,162,2.0,26.2,1.0,24.3,81.0,0.2,1009,0.019,0.021,0.040,0.012,10.4,2.6,7
08/01/2010,15:00,163,1.4,25.5,0.9,25.4,75.5,0.0,1008,0.024,0.019,0.043,0.014,10.1,2.9,8
08/01/2010,16:00,176,4.1,11.3,1.2,26.4,68.4,0.0,1008,0.001,0.003,0.004,0.003,17.5,5.8,7
08/01/2010,17:00,176,3.6,11.3,1.2,26.3,69.2,0.0,1009,0.001,0.003,0.004,0.001,14.1,2.8,9
08/01/2010,18:00,176,3.6,11.5,1.1,26.2,70.6,0.0,1009,0.001,0.003,0.003,0.000,17.3,2.2,11
08/01/2010,19:00,173,3.3,10.9,1.2,25.9,72.2,0.1,1010,0.000,0.005,0.005,0.001,16.4,0.4,11
08/01/2010,20:00,169,2.8,12.5,1.1,25.8,69.3,0.0,1011,0.001,0.007,0.008,0.002,16.8,0.8,11
08/01/2010,21:00,161,1.9,20.4,0.9,25.4,71.4,0.0,1011,0.017,0.012,0.029,0.012,20.6,4.7,11
08/01/2010,22:00,159,1.8,24.0,0.9,25.1,72.6,0.0,1011,0.016,0.011,0.027,0.013,13.0,-1.8,10
08/01/2010,23:00,161,1.9,19.7,0.8,25.0,73.1,0.0,1010,0.022,0.012,0.034,0.019,14.1,0.1,11
09/01/2010,00:00,128,2.0,20.9,0.9,24.6,74.6,0.2,1010,,,,,15.7,1.1,
09/01/2010,01:00,136,1.2,28.3,0.7,24.3,76.6,0.0,1010,0.014,0.011,0.024,0.012,13.9,-0.8,11
